epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,28636.7,1.54919,0.74941,1.05716,0.92102,0.84592,0.91406,0.56979,1.3945,0.62545,1.03691,0.000367967,0.000367967,0.000367967
77,29084.5,1.55908,0.75136,1.05597,0.91815,0.85177,0.91323,0.56944,1.39137,0.62622,1.03469,0.00035382,0.00035382,0.00035382
78,29370.8,1.55396,0.75343,1.05938,0.91708,0.85384,0.91385,0.56831,1.39505,0.62603,1.03572,0.000339673,0.000339673,0.000339673
79,29636.5,1.55397,0.74496,1.05376,0.91047,0.86169,0.91498,0.57102,1.39176,0.62433,1.03378,0.000325526,0.000325526,0.000325526
80,29885.4,1.53567,0.74053,1.05779,0.92385,0.85403,0.91622,0.57212,1.39236,0.62244,1.03367,0.000311379,0.000311379,0.000311379
81,30314.7,1.55386,0.74862,1.05448,0.91958,0.85653,0.91515,0.573,1.39354,0.62385,1.03392,0.000297232,0.000297232,0.000297232
82,30819.9,1.54386,0.74906,1.05862,0.91932,0.85771,0.91679,0.57379,1.39182,0.62149,1.03284,0.000283085,0.000283085,0.000283085
83,31080.6,1.53621,0.74271,1.06133,0.9203,0.8526,0.91608,0.5729,1.38816,0.62127,1.03188,0.000268938,0.000268938,0.000268938
84,31344.8,1.54068,0.7478,1.05941,0.92021,0.85176,0.91675,0.5734,1.3909,0.62256,1.03332,0.000254791,0.000254791,0.000254791
85,31597,1.54224,0.73447,1.04827,0.91812,0.85952,0.91711,0.57358,1.38921,0.62154,1.03206,0.000240644,0.000240644,0.000240644
86,31869.5,1.53741,0.7364,1.05259,0.91666,0.85832,0.91667,0.57475,1.38848,0.61961,1.03158,0.000226497,0.000226497,0.000226497
87,32122.9,1.5311,0.7357,1.05138,0.91585,0.85592,0.91521,0.57437,1.38753,0.62094,1.03186,0.000212349,0.000212349,0.000212349
88,32372,1.54125,0.73148,1.05029,0.91695,0.85623,0.91593,0.57576,1.38668,0.61789,1.03121,0.000198202,0.000198202,0.000198202
89,32631.3,1.53114,0.73363,1.05288,0.91393,0.85768,0.91671,0.57557,1.38884,0.61822,1.0322,0.000184055,0.000184055,0.000184055
